Token number,File ID,Time,Interview Section,Speaker,Token,Interlocutor,Prompted,Preceding word,Preceding syllable,Preceding morphology,Syllables in preceding word,Number of utterances since variable,Location,Age,Age bracket,Sex
1,20160129bes03bes04,0:06:26,1 - Demographics,bes03,miyel,I,N,kulu(m),lu(m),TR,2,,bes,35,32+,F
2,20160129bes03bes04,0:22:56,3 - Perceptual ,bes03,mijal,I,N,mokimbat,bat,PROG,3,,bes,35,32+,F
3,20160129bes03bes04,0:25:59,5 - Variable checklist,bes03,mijal,I,N,beldi(m),di(m),TR,2,,bes,35,32+,F
4,20160129bes03bes04,0:26:04,5 - Variable checklist,bes03,mijal,I,N,beldimbat,bat,PROG,3,,bes,35,32+,F
5,20160129bes03bes04,0:33:59,4 - Kinterm checklist,bes03,mijel,I,N,kolim,li(m),TR,2,2,bes,35,32+,F
6,20160129bes03bes04,0:35:22,5 - Variable checklist,bes03,miyel,I,N,nyangirri,rri,ROOT_SUB,3,,bes,35,32+,F
7,20160129bes03bes04,0:38:19,5 - Variable checklist,bes04,miyel,I,N,filim,lim,TR,2,,bes,39,32+,F
8,20160129bes03bes04,0:38:23,5 - Variable checklist,bes04,mijelp,I,N,bilk,bilk,ROOT_SUB,1,1,bes,39,32+,F
9,20160129bes03bes04,0:38:28,5 - Variable checklist,bes04,mijel,I,N,leisi,si,ROOT_ENG,2,1,bes,39,32+,F
10,20160129bes03bes04,0:40:33,5 - Variable checklist,bes04,miyel,I,Y,gudid,did,ROOT_SUB,2,1,bes,39,32+,F
11,20160129bes03bes04,0:40:33,5 - Variable checklist,bes04,mijel,I,Y,mait,mait,ROOT_?,1,0,bes,39,32+,F
12,20160129bes03bes04,0:40:39,5 - Variable checklist,bes03,mijal,I,Y,gudid,did,ROOT_SUB,2,2,bes,35,32+,F
13,20160129bes03bes04,0:40:43,5 - Variable checklist,bes04,mijel,I,Y,garrimap,map,ADV,3,1,bes,39,32+,F
14,20160129bes03bes04,0:41:16,5 - Variable checklist,bes03,mijal,I,N,dirr,dirr,ROOT_SUB,1,7,bes,35,32+,F
15,20160129bes03bes04,0:49:12,6 - SCOPIC,bes03,miyel,P,N,luk,luk,ROOT_ENG,1,many,bes,35,32+,F
16,20160129bes03bes04,0:52:01,6 - SCOPIC,bes03,mijel,P,N,tijim,jim,TR,2,,bes,35,32+,F
17,20160129bes03bes04,0:52:01,6 - SCOPIC,bes03,mijel,P,N,gibit,bit,TR,2,0,bes,35,32+,F
18,20160129bes03bes04,0:52:01,6 - SCOPIC,bes03,miyel,P,N,nyangirri,rri,ROOT_SUB,3,0,bes,35,32+,F
19,20160129bes03bes04,0:52:08,6 - SCOPIC,bes04,mijelp,P,N,helpum,pum,TR,2,1,bes,39,32+,F
20,20160129bes03bes04,0:52:54,6 - SCOPIC,bes03,mel,P,N,filim,li(m),TR,2,11,bes,35,32+,F
21,20160129bes03bes04,0:52:54,6 - SCOPIC,bes03,mel,P,N,luk,luk,ROOT_ENG,1,0,bes,35,32+,F
22,20160129bes03bes04,0:53:51,6 - SCOPIC,bes03,miyel,P,N,nyangirri,rri,ROOT_SUB,3,,bes,35,32+,F
23,20160129bes03bes04,0:55:13,6 - SCOPIC,bes04,miyel,P,N,jinggibat,bat,ADV,3,,bes,39,32+,F
24,20160129bes03bes04,0:59:04,6 - SCOPIC,bes03,mijel,P,N,jinggibat,bat,ADV,3,,bes,35,32+,F
25,20160129bes03bes04,0:59:33,6 - SCOPIC,bes03,miel,P,N,tok,tok,ROOT_ENG,1,,bes,35,32+,F
26,20160129bes03bes04,1:00:07,6 - SCOPIC,bes03,miel,P,N,holdim,dim,TR,1,,bes,35,32+,F
27,20160129bes03bes04,1:00:59,6 - SCOPIC,bes03,mijel,P,N,nyangirri,rri,ROOT_SUB,3,,bes,35,32+,F
28,20160129bes03bes04,1:03:10,6 - SCOPIC,bes03,mijel,P,N,nyangirri,rri,ROOT_SUB,3,,bes,35,32+,F
29,20160129bes03bes04,1:05:41,6 - SCOPIC,bes03,miyel,P,N,jinggibat,bat,ROOT_ENG,3,,bes,35,32+,F
30,20160129bes03bes04,1:05:51,6 - SCOPIC,bes03,miyel,P,N,jinggibat,bat,ROOT_ENG,3,,bes,35,32+,F
31,20160129bes03bes04,1:06:26,6 - SCOPIC,bes03,miyel,P,N,delimbat,bat,PROG,3,,bes,35,32+,F
32,20160129bes03bes04,1:07:39,6 - SCOPIC,bes04,miyel,P,N,luk,luk,ROOT_ENG,1,,bes,39,32+,F
33,20160128bar01bar02,0:20:47,2 - Narratives,bar02,miyel,P,Y,ardim,rdim,TR,2,,bar,27,18-31,F
34,20160128bar01bar02,0:20:52,2 - Narratives,bar02,miyel,P,Y,ardim,rdim,TR,2,2,bar,27,18-31,F
35,20160128bar01bar02,0:21:00,2 - Narratives,bar02,miyel,P,Y,ardim,rdim,TR,2,2,bar,27,18-31,F
36,20160128bar01bar02,0:21:04,2 - Narratives,bar02,miyel,P,Y,ardim,rdim,TR,2,1,bar,27,18-31,F
37,20160128bar01bar02,1:01:00,5 - Variable checklist,bar02,miyel,P,N,braitini,ni,TR,3,,bar,27,18-31,F
38,20160128bar01bar02,1:02:33,5 - Variable checklist,bar02,miyel,I,Y,gudid,did,ROOT_SUB,2,,bar,27,18-31,F
39,20160128bar01bar02,1:02:33,5 - Variable checklist,bar02,miyel,I,Y,garrimap,map,ADV,3,0,bar,27,18-31,F
40,20160128bar01bar02,1:02:33,5 - Variable checklist,bar02,miyel,I,Y,gudid,did,ROOT_SUB,2,0,bar,27,18-31,F
41,20160128bar01bar02,1:05:45,5 - Variable checklist,bar02,miyel,I,N,leigimbat,bat,PROG,3,,bar,27,18-31,F
